,61312359198de5c453d3cfb9,6167e5b21fe4bb7b2579fa56,5ffca360e5368712c0d99025,6125f41a09b22ab57f141fc4,60fa1f2cf2278d3aa499500d,5e5701332445b00c809f4f5a,60fbd6e536d60cbad293b196,6174329f7090eebf66aac13e,6152cf90dee0704b0bf2993a,5f5e4841a15e3f6c48945fb9,61112143019643656743213c,5daae19f8a06b60016d1bc32,60d747e9498dbc9de1f481f8,615c45c1bdf768482da9ae9f,5f7d002d141e4e1c0e84e98e,611df8db8ecf47bb14385383,59b53c08834a170001d609d0,5db4cc7d991a36000f60c12f,60c3296117492c303de38975,6159e587cc01e08668d4d7bd,615c7b5b6c6f51e68938c2aa,611fda564c6fa3a229aedd37,5f3976475344654ec13820aa,615078887e990118be6d3c25,6134a29257aec791154425ae,5f966b181caf595331d1685e,5a64a97663394a0001556331,60e9c7d6324bb82ccb1357e4,5f009c12dac7c81b0e9c0d06,60fda80455b1001936d34ce8,6152e5bee196dfaf35c84747
58,95.0,94.0,94.0,105.0,156.0,87.0,44.0,73.0,73.0,106.0,94.0,115.0,105.0,106.0,113.0,85.0,103.0,95.0,97.0,103.0,44.0,87.0,97.0,103.0,97.0,94.0,103.0,44.0,44.0,106.0,106.0
59,121.0,136.0,136.0,79.0,106.0,105.0,94.0,111.0,111.0,64.0,136.0,130.0,79.0,64.0,95.0,70.0,48.0,121.0,152.0,48.0,94.0,105.0,152.0,48.0,152.0,136.0,48.0,94.0,94.0,64.0,64.0
60,172.0,118.0,118.0,28.0,154.0,110.0,46.0,180.0,180.0,82.0,118.0,111.0,28.0,82.0,90.0,89.0,93.0,172.0,107.0,93.0,46.0,110.0,107.0,93.0,107.0,118.0,93.0,46.0,46.0,82.0,82.0
61,90.0,118.0,118.0,110.0,104.0,61.0,96.0,76.0,76.0,82.0,118.0,118.0,110.0,82.0,139.0,82.0,112.0,90.0,88.0,112.0,96.0,61.0,88.0,112.0,88.0,118.0,112.0,96.0,96.0,82.0,82.0
62,88.0,115.0,115.0,112.0,133.0,46.0,67.0,53.0,53.0,85.0,115.0,119.0,112.0,85.0,154.0,81.0,38.0,88.0,162.0,38.0,67.0,46.0,162.0,38.0,162.0,115.0,38.0,67.0,67.0,85.0,85.0
63,118.0,115.0,115.0,82.0,88.0,56.0,112.0,86.0,86.0,85.0,115.0,105.0,82.0,85.0,144.0,95.0,111.0,118.0,89.0,111.0,112.0,56.0,89.0,111.0,89.0,115.0,111.0,112.0,112.0,85.0,85.0
64,100.0,111.0,111.0,100.0,120.0,62.0,80.0,73.0,73.0,89.0,111.0,61.0,100.0,89.0,138.0,139.0,105.0,100.0,95.0,105.0,80.0,62.0,95.0,105.0,95.0,111.0,105.0,80.0,80.0,89.0,89.0
65,153.0,138.0,138.0,47.0,23.0,102.0,177.0,115.0,115.0,62.0,138.0,109.0,47.0,62.0,98.0,91.0,123.0,153.0,77.0,123.0,177.0,102.0,77.0,123.0,77.0,138.0,123.0,177.0,177.0,62.0,62.0
66,157.0,133.0,133.0,43.0,1.0,68.0,199.0,64.0,64.0,67.0,133.0,134.0,43.0,67.0,132.0,66.0,75.0,157.0,125.0,75.0,199.0,68.0,125.0,75.0,125.0,133.0,75.0,199.0,199.0,67.0,67.0
67,166.0,54.0,54.0,34.0,178.0,32.0,22.0,48.0,48.0,146.0,54.0,138.0,34.0,146.0,168.0,62.0,116.0,166.0,84.0,116.0,22.0,32.0,84.0,116.0,84.0,54.0,116.0,22.0,22.0,146.0,146.0
68,138.0,101.0,101.0,62.0,85.0,12.0,115.0,100.0,100.0,99.0,101.0,114.0,62.0,99.0,188.0,86.0,144.0,138.0,56.0,144.0,115.0,12.0,56.0,144.0,56.0,101.0,144.0,115.0,115.0,99.0,99.0
69,144.0,136.0,136.0,56.0,103.0,35.0,97.0,77.0,77.0,64.0,136.0,130.0,56.0,64.0,165.0,70.0,154.0,144.0,46.0,154.0,97.0,35.0,46.0,154.0,46.0,136.0,154.0,97.0,97.0,64.0,64.0
70,159.0,105.0,105.0,41.0,64.0,83.0,136.0,102.0,102.0,95.0,105.0,115.0,41.0,95.0,117.0,85.0,127.0,159.0,73.0,127.0,136.0,83.0,73.0,127.0,73.0,105.0,127.0,136.0,136.0,95.0,95.0
71,131.0,45.0,45.0,69.0,91.0,70.0,109.0,103.0,103.0,155.0,45.0,127.0,69.0,155.0,130.0,73.0,103.0,131.0,97.0,103.0,109.0,70.0,97.0,103.0,97.0,45.0,103.0,109.0,109.0,155.0,155.0
72,129.0,45.0,45.0,71.0,107.0,141.0,93.0,84.0,84.0,155.0,45.0,101.0,71.0,155.0,59.0,99.0,95.0,129.0,105.0,95.0,93.0,141.0,105.0,95.0,105.0,45.0,95.0,93.0,93.0,155.0,155.0
73,134.0,122.0,122.0,66.0,45.0,135.0,155.0,118.0,118.0,78.0,122.0,166.0,66.0,78.0,65.0,34.0,100.0,134.0,100.0,100.0,155.0,135.0,100.0,100.0,100.0,122.0,100.0,155.0,155.0,78.0,78.0
74,103.0,56.0,56.0,97.0,87.0,103.0,113.0,112.0,112.0,144.0,56.0,142.0,97.0,144.0,97.0,58.0,101.0,103.0,99.0,101.0,113.0,103.0,99.0,101.0,99.0,56.0,101.0,113.0,113.0,144.0,144.0
75,69.0,120.0,120.0,131.0,63.0,151.0,137.0,79.0,79.0,80.0,120.0,167.0,131.0,80.0,49.0,33.0,196.0,69.0,4.0,196.0,137.0,151.0,4.0,196.0,4.0,120.0,196.0,137.0,137.0,80.0,80.0
76,115.0,105.0,105.0,85.0,111.0,139.0,89.0,97.0,97.0,95.0,105.0,125.0,85.0,95.0,61.0,75.0,115.0,115.0,85.0,115.0,89.0,139.0,85.0,115.0,85.0,105.0,115.0,89.0,89.0,95.0,95.0
77,79.0,98.0,98.0,121.0,85.0,69.0,115.0,39.0,39.0,102.0,98.0,93.0,121.0,102.0,131.0,107.0,105.0,79.0,95.0,105.0,115.0,69.0,95.0,105.0,95.0,98.0,105.0,115.0,115.0,102.0,102.0
78,143.0,75.0,75.0,57.0,119.0,100.0,81.0,74.0,74.0,125.0,75.0,135.0,57.0,125.0,100.0,65.0,140.0,143.0,60.0,140.0,81.0,100.0,60.0,140.0,60.0,75.0,140.0,81.0,81.0,125.0,125.0
79,70.0,118.0,118.0,130.0,104.0,117.0,96.0,64.0,64.0,82.0,118.0,107.0,130.0,82.0,83.0,93.0,156.0,70.0,44.0,156.0,96.0,117.0,44.0,156.0,44.0,118.0,156.0,96.0,96.0,82.0,82.0
80,118.0,76.0,76.0,82.0,93.0,114.0,107.0,99.0,99.0,124.0,76.0,191.0,82.0,124.0,86.0,9.0,116.0,118.0,84.0,116.0,107.0,114.0,84.0,116.0,84.0,76.0,116.0,107.0,107.0,124.0,124.0
