,5f47792545ed0015620c5dea,5e830913ff38e3016d1a69f2,61534ac335007e11ae9dd475,5bb2a0148f3bd70001e5633f,60e197c98498a8f2baa8bc24,60aa6c8804d2aae2b7cce9d5,5f4ae489bd76c515338db02e,613636704a5fb724220f56ec,5dd26e66e454cd28a9d3153d,5b05b9796996a60001a40f14,5e4aecbff6f75d000ccc6108,5edd2e458f29cfa351de300d,5f0dfc73c4ea870f4a3180ad,5d62a50f1d7a3e0015d6a1e9,60b94f837bfda8b1977feef0,6147e5e47d2e1f4064093064,602da4b0977e1185851058c3,614778280f3a996d2b520388,5fed9b2291948ab1c1fb2351,5dbfd427a4627c4258d48ec5,611d0c64d70a6d9fcd11440b,6054ecc6e52f827e4a68d347,5ccbf31adde97100138a0eb4,589b9715a7d45800010429b6,616feb99305d8e8851e9dec6,601f00e7c33dab4182151cc5,60ffc7bb84a3a45ff45fd520,605c64f318cd6fa0d8fef2b0,611f673baf2f705177f7a3c8,6142f3f67e6cee640ce351e5,58404fd8ad98e40001ce915f,5a609c8331b87a0001c6b64c
50,84.0,104.0,116.0,161.0,78.0,78.0,156.0,78.0,78.0,156.0,90.0,39.0,122.0,84.0,104.0,96.0,104.0,124.0,116.0,122.0,96.0,84.0,116.0,104.0,76.0,104.0,78.0,39.0,104.0,96.0,161.0,116.0
51,150.0,132.0,50.0,70.0,84.0,84.0,173.0,84.0,84.0,173.0,93.0,130.0,116.0,150.0,132.0,68.0,132.0,72.0,50.0,116.0,68.0,150.0,50.0,132.0,128.0,132.0,84.0,130.0,132.0,68.0,70.0,50.0
52,187.0,103.0,13.0,135.0,61.0,61.0,165.0,61.0,61.0,165.0,137.0,65.0,139.0,187.0,103.0,97.0,103.0,153.0,13.0,139.0,97.0,187.0,13.0,103.0,47.0,103.0,61.0,65.0,103.0,97.0,135.0,13.0
53,125.0,136.0,75.0,106.0,62.0,62.0,125.0,62.0,62.0,125.0,122.0,94.0,138.0,125.0,136.0,64.0,136.0,93.0,75.0,138.0,64.0,125.0,75.0,136.0,107.0,136.0,62.0,94.0,136.0,64.0,106.0,75.0
54,165.0,68.0,35.0,43.0,211.0,211.0,64.0,211.0,211.0,64.0,104.0,157.0,-11.0,165.0,68.0,132.0,68.0,94.0,35.0,-11.0,132.0,165.0,35.0,68.0,106.0,68.0,211.0,157.0,68.0,132.0,43.0,35.0
55,123.0,112.0,77.0,66.0,130.0,130.0,114.0,130.0,130.0,114.0,91.0,134.0,70.0,123.0,112.0,88.0,112.0,47.0,77.0,70.0,88.0,123.0,77.0,112.0,153.0,112.0,130.0,134.0,112.0,88.0,66.0,77.0
56,61.0,108.0,139.0,129.0,127.0,127.0,106.0,127.0,127.0,106.0,102.0,71.0,73.0,61.0,108.0,92.0,108.0,103.0,139.0,73.0,92.0,61.0,139.0,108.0,97.0,108.0,127.0,71.0,108.0,92.0,129.0,139.0
57,84.0,143.0,116.0,109.0,154.0,154.0,127.0,154.0,154.0,127.0,127.0,91.0,46.0,84.0,143.0,57.0,143.0,79.0,116.0,46.0,57.0,84.0,116.0,143.0,121.0,143.0,154.0,91.0,143.0,57.0,109.0,116.0
58,94.0,97.0,106.0,85.0,87.0,87.0,105.0,87.0,87.0,105.0,156.0,115.0,113.0,94.0,97.0,103.0,97.0,127.0,106.0,113.0,103.0,94.0,106.0,97.0,73.0,97.0,87.0,115.0,97.0,103.0,85.0,106.0
59,136.0,152.0,64.0,70.0,105.0,105.0,79.0,105.0,105.0,79.0,106.0,130.0,95.0,136.0,152.0,48.0,152.0,89.0,64.0,95.0,48.0,136.0,64.0,152.0,111.0,152.0,105.0,130.0,152.0,48.0,70.0,64.0
60,118.0,107.0,82.0,89.0,110.0,110.0,28.0,110.0,110.0,28.0,154.0,111.0,90.0,118.0,107.0,93.0,107.0,20.0,82.0,90.0,93.0,118.0,82.0,107.0,180.0,107.0,110.0,111.0,107.0,93.0,89.0,82.0
61,118.0,88.0,82.0,82.0,61.0,61.0,110.0,61.0,61.0,110.0,104.0,118.0,139.0,118.0,88.0,112.0,88.0,124.0,82.0,139.0,112.0,118.0,82.0,88.0,76.0,88.0,61.0,118.0,88.0,112.0,82.0,82.0
62,115.0,162.0,85.0,81.0,46.0,46.0,112.0,46.0,46.0,112.0,133.0,119.0,154.0,115.0,162.0,38.0,162.0,147.0,85.0,154.0,38.0,115.0,85.0,162.0,53.0,162.0,46.0,119.0,162.0,38.0,81.0,85.0
63,115.0,89.0,85.0,95.0,56.0,56.0,82.0,56.0,56.0,82.0,88.0,105.0,144.0,115.0,89.0,111.0,89.0,114.0,85.0,144.0,111.0,115.0,85.0,89.0,86.0,89.0,56.0,105.0,89.0,111.0,95.0,85.0
64,111.0,95.0,89.0,139.0,62.0,62.0,100.0,62.0,62.0,100.0,120.0,61.0,138.0,111.0,95.0,105.0,95.0,127.0,89.0,138.0,105.0,111.0,89.0,95.0,73.0,95.0,62.0,61.0,95.0,105.0,139.0,89.0
65,138.0,77.0,62.0,91.0,102.0,102.0,47.0,102.0,102.0,47.0,23.0,109.0,98.0,138.0,77.0,123.0,77.0,85.0,62.0,98.0,123.0,138.0,62.0,77.0,115.0,77.0,102.0,109.0,77.0,123.0,91.0,62.0
66,133.0,125.0,67.0,66.0,68.0,68.0,43.0,68.0,68.0,43.0,1.0,134.0,132.0,133.0,125.0,75.0,125.0,136.0,67.0,132.0,75.0,133.0,67.0,125.0,64.0,125.0,68.0,134.0,125.0,75.0,66.0,67.0
